#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
16  20  0.035174  0.0158483
16  21  0.0353665  0.0141539
16  22  0.0355134  0.0130512
16  23  0.0356055  0.0124293
16  24  0.0356369  0.0122283
16  25  0.0356055  0.0124293
16  26  0.0355134  0.0130512
16  27  0.0353665  0.0141539
16  28  0.035174  0.0158483
16  29  0.0349466  0.0183158
16  30  0.0346955  0.0218432
16  31  0.0344315  0.0268833
16  32  0.0341639  0.0341639
16  33  0.0339003  0.0448881
16  34  0.0336467  0.0611232
16  35  0.0334072  0.0865953
16  36  0.0331847  0.12843
16  37  0.0329808  0.201292
16  38  0.0327964  0.338234
16  39  0.0326318  0.622418
16  40  0.0324866  1.28824
16  41  0.0323605  2.98426
16  42  0.0322529  5.92302
16  43  0.0321632  5.53258
16  44  0.0320907  3.42778
16  45  0.0320349  2.27551
16  46  0.0319953  1.7326
16  47  0.0319718  1.4871

17  0  0.0254497  0.907799
17  1  0.025455  0.948537
17  2  0.0254709  1.08767
17  3  0.0254976  1.39199
17  4  0.0255352  2.0508
17  5  0.0255839  3.58143
17  6  0.025644  6.16365
17  7  0.0257159  4.47458
17  8  0.0257998  1.76085
17  9  0.0258959  0.758773
17  10  0.0260044  0.383024
17  11  0.0261252  0.217708
17  12  0.026258  0.134911
17  13  0.0264018  0.0892832
17  14  0.0265555  0.0622816
17  15  0.026717  0.0454146
17  16  0.0268834  0.0344315
17  17  0.0270509  0.0270509
17  18  0.0272147  0.021978
17  19  0.0273693  0.0184453
17  20  0.0275082  0.0159823
17  21  0.0276251  0.0142947
17  22  0.0277137  0.0131979
17  23  0.0277691  0.0125799
17  24  0.027788  0.0123802
17  25  0.0277691  0.0125799
17  26  0.0277137  0.0131979
17  27  0.0276251  0.0142947
17  28  0.0275082  0.0159823
17  29  0.0273693  0.0184453
17  30  0.0272147  0.021978
17  31  0.0270509  0.0270509
17  32  0.0268834  0.0344315
17  33  0.026717  0.0454146
17  34  0.0265555  0.0622816
17  35  0.0264018  0.0892832
17  36  0.026258  0.134911
17  37  0.0261252  0.217708
17  38  0.0260044  0.383024
17  39  0.0258959  0.758773
17  40  0.0257998  1.76085
17  41  0.0257159  4.47458
17  42  0.025644  6.16365
17  43  0.0255839  3.58143
17  44  0.0255352  2.0508
17  45  0.0254976  1.39199
17  46  0.0254709  1.08767
17  47  0.025455  0.948537

18  0  0.0206551  0.616686
18  1  0.0206596  0.641505
18  2  0.0206732  0.725355
18  3  0.0206958  0.904812
18  4  0.0207277  1.28288
18  5  0.020769  2.17411
18  6  0.0208199  4.47772
18  7  0.0208805  6.05541
18  8  0.0209511  2.50269
18  9  0.0210317  0.94526
18  10  0.0211223  0.437644
18  11  0.0212228  0.236274
18  12  0.0213326  0.141885
18  13  0.0214511  0.0920782
18  14  0.021577  0.0634579
18  15  0.0217085  0.0459402
18  16  0.0218432  0.0346955
18  17  0.021978  0.0272147
18  18  0.0221091  0.0221091
18  19  0.022232  0.0185707
18  20  0.0223419  0.0161118
18  21  0.0224339  0.0144305
18  22  0.0225035  0.0133392
18  23  0.0225468  0.0127247
18  24  0.0225616  0.0125263
18  25  0.0225468  0.0127247
18  26  0.0225035  0.0133392
18  27  0.0224339  0.0144305
18  28  0.0223419  0.0161118
18  29  0.022232  0.0185707
18  30  0.0221091  0.0221091
18  31  0.021978  0.0272147
18  32  0.0218432  0.0346955
18  33  0.0217085  0.0459402
18  34  0.021577  0.0634579
18  35  0.0214511  0.0920782
18  36  0.0213326  0.141885
18  37  0.0212228  0.236274
18  38  0.0211223  0.437644
18  39  0.0210317  0.94526
18  40  0.0209511  2.50269
18  41  0.0208805  6.05541
18  42  0.0208199  4.47772
18  43  0.020769  2.17411
18  44  0.0207277  1.28288
18  45  0.0206958  0.904812
18  46  0.0206732  0.725355
18  47  0.0206596  0.641505

19  0  0.01715  0.444054
19  1  0.0171545  0.460348
19  2  0.017168  0.514874
19  3  0.0171907  0.629235
19  4  0.0172225  0.86249
19  5  0.0172637  1.39223
19  6  0.0173143  2.84919
19  7  0.0173746  6.14883
19  8  0.0174446  3.60599
19  9  0.0175243  1.1966
19  10  0.0176137  0.502431
19  11  0.0177125  0.256566
19  12  0.0178202  0.149118
19  13  0.0179359  0.094878
19  14  0.0180584  0.0646084
19  15  0.0181858  0.0464459
19  16  0.0183158  0.0349466
19  17  0.0184453  0.0273693
19  18  0.0185707  0.022232
19  19  0.0186878  0.0186878
19  20  0.0187922  0.0162323
19  21  0.0188793  0.0145567
19  22  0.0189449  0.0134705
19  23  0.0189858  0.0128592
19  24  0.0189997  0.0126618
19  25  0.0189858  0.0128592
19  26  0.0189449  0.0134705
